agenda ordre
suffered souffert
learned appris
touched dont
port-state port-state
urgently urgence
ensured permis
suffice suffire
marpol polmar
2001 2001
double-hulled coques
catastrophe catastrophe
impacts économiques
immediately immédiatement
testing les
certificate attestation
medium moyen
operate fonctionner
vehicle véhicule
obligatory si
checks contrôles
ship navire
operated d'
insurance assurance
prohibited interdire
leaving laisser
port port
charges sur
flies infraction
marvellous avoir
marseilles marseille
sure que
rotterdam rotterdam
awarding attribution
wilhelmshaven là-dessus
cuxhaven cuxhaven
wherever où
anchor ancrage
theme thème
unions syndicats
memory mémoire
crop exclure
frequently souvent
movement circulation
roth-behrendt roth-behrendt
first-rate énumération
enumeration excellente
variety diversité
critically critique
crisis crise
generations générations
confidentiality confidentialité
outraged indigné
divulge révéler
conceal dissimuler
actions actions
tightening renforcement
appeals appels
reacting réagir
constitute constituent
powerless se
stick tenir
corporations trusts
shipyards conformes
investigated enquête
lie se
detected détectée
rigour rigueur
rigorous rigueur
superficial superficiels
apparent bon
tÜv centres
suit cela
reputable bonnes
personnel personnel
sunk couler
anywhere part
struck trouvé
26 26
indian indien
sailors marins
sank rapporté
saved nombre
deaths morts
authorised autorisés
miracle miracle
tonnes tonnes
harmonised harmonisées
waiting attendons
wreck l
boats bateaux
lovely beaux
villas belles
beaches plages
faces visages
nice nice
tan soleil
crews équipages
ones les
zero-risk zéro
sympathy sympathie
deplorable déplorable
breaking rompre
heed compte
rush précipiter
sinking destruction
embark dans
shoulder chargées
arrangements dispositions
design conception
galicia veniez
similar similaires
sensitivity sensibilité
malta malte
fleet flotte
accession adhésion
starting à
rigorously manière
reminded rappelé
monitors contrôle
shipping navires
sail sous
speedy rapide
mayoress rappellent
department département
lived vécu
consists consiste
opt opter
safest plus
technically technique
reproduce reproduire
divided divisée
harm même
occasioned causés
persons personnes
chapters chapitres
drafted rédigé
ill-advised mal
inappropriate ne
flora flora
fauna faune
sought cherché
weakened affaibli
structure structure
peninsula péninsule
issued elle
stricter plus
inspect contrôler
meets l
falters défaut
figure chiffre
incoming entrant
built se
esteemed chers
older anciens
sub-standard prioritairement
japanese japonais
shipyard naval
sister naviguent
single-hulled simple
maltese maltais
halted ladite
town ville
entering dans
rusting énorme
disciplined discipliner
shipments cargaisons
running fonctionner
guaranteed garantie
slicks marées
intentional accidentelle
unintentional n
bringing en
salute salue
spillage couverts
incentive incitant
coastlines côtes
imaginative imaginatifs
picks assurances
ultimately compte
polluter pollueur
tab note
widely largement
reported faire
registering celle
answers réponses
promises promesses
count compter
forever définitivement
art pouvoir
cure prévenir
deploying utilisation
debt dette
multipurpose proximité
undertook engagée
deployment déploiement
neuwerk trouve
crew remerciements
experiences expériences
door porte
master plus
entailed "
swift rapide
state-of-the-art moderne
neighbourly voisins
fighting contre
coastguard bats
preventive préventives
ten dix
withhold abstenir
utmost tout
alongside réalise
recurrence ce
passenger passagers
romanian roumaines
cyprus chypre
oblige déclaration
negotiating négociation
registers registres
notorious nouveau
arise découlant
quicker rapides
insured montants
usd dollars
180 180
expand cette
covering les
payments paiements
8 8
motions propositions
12.00 12
short-term court
perimeter vous
forestry sylviculture
districts communes
lorraine lorraine
trees arbres
terrible terrible
storm tempête
deciduous feuillus
estimate estimation
forest forêts
releasing ni
complex complexe
timber bois
storage stockage
revenues rentrées
depreciate qu
continually sans
illustrate illustrer
catastrophes catastrophes
tribute hommage
mayors maires
constituents électeurs
earned mérité
fellow-citizens concitoyens
organise organiser
paradoxical paradoxal
fish poissons
shellfish conchyliculture
magps sinistrées
mechanical mécanique
widespread généralisée
coastal côtières
written écrit
martinez faite
copy copie
devastated ont
supplementary complémentaires
appropriations crédits
heartfelt chaleureusement
condolences condoléances
forests forêts
families familles
mourning endeuillées
appalling les
weather temps
duty devoir
fantastic fantastiques
complement compléter
rallied collectivités
troubles exemplaire
forgetting oublie
grasp saisir
9 9
launched lancé
suffering souffrance
sincerity sylvicole
cessation fin
equipment équipements
fifg puissent
wiped taille
sales ventes
strong forte
coverage couverture
logging ralentir
standing remplace
wood bois
purchase achat
windfalls chablis
calamity calamité
accelerated accélérer
emissions émissions
immoral immoral
preclude être
solving résoudre
obligations obligations
kyoto kyoto
shelves ne
targets objectifs
stipulated pouvoir
nearly près
renewable renouvelables
woefully insatisfaisant
lothar lothar
greenhouse serre
ordinary ordinaires
name nom
gases gaz
hitherto présent
hurricane ouragan
notoriety acquis
wind éolienne
triumphed aient
electricity électricité
swept causé
pylons les
roofs les
claiming demander
switzerland suisse
trail lui
space espace
wake suite
listened ai
attentively juger
community-level attendant
120 120
cubic cubes
freed libéré
metres cubes
solid véritable
intending intention
exchanges échanges
manager responsable
enterprise entreprise
thinning-out indispensable
5b 5b
tended tendance
predominates région
requisite nécessaire
approve approuver
nato otan
flattened primo
kosovo kosovo
bombs bombes
unbelievable incroyable
raged ont
responded répondu
death mort
wherewithal semblerait
cries ceux
tracts territoire
shrugging haussement
comprehend comprendre
shoulders épaules
knows sait
ins moyens
outs assistance
uphold défendre
perpetrators auteurs
tolerate est
foot vont-ils
bill facture
twice deux
transporting chacun
machinations accepter
joined suis
became devenue
ended s'
haste vides
mankind humanité
took est
continues continue
galvanise inciter
postponed reporté
providing fournir
density densité
monocultures monocultures
cycles initiatives
laying en
plant centrale
mixed mélange
telephone téléphoniques
cabling considérer
woodland sur
underground les
undertaking engagement
reforestation reboisement
america amérique
south-east sud-est
fortunate fortunée
gulf fossé
stream stream
privileged privilégié
partly partie
stuff louanges
energies énergies
sorrow avant
irreparable irréparables
enquiries interroger
touch aborder
faring forcée
calculations estimations
implicitly implicitement
temperature température
risen augmenté
rest reste
century siècle
wondered demandais
utilise moyens
extraordinary extraordinaire
regrettable regrettable
tragedy tragédie
reinstate rétablir
repeatedly reprises
abolished supprimées
abused soient
whispering se
floods inondations
earthquake -
big grande
euros euros
tight strict
constituencies leurs
grave graves
greeks grecs
discontinue destinée
penny sensible
peter pierre
compare comparer
frequency monde
paul paul
week semaine
showed montré
active active
store importance
gets interpelle
lightly éprouvé
travelling se
alsace alsace
fallen endommagé
swiftly rapidement
warmer début
arrives séance
decades décennies
determine déterminer
tree sorte
sustained durable
skilled personnel
austrian autrichien
extend étendre
deepest profonde
..... ...
winds par
remembered rappeler
prolonged opprimés
rainfall par
resulted au
acres provoqué
submerged inondation
performances gravité
indications indices
proof preuve
pursuant conformément
concludes est
noon heures
food alimentaire
talked parlé
ewes éleveurs
aborting brebis
lambs avoir
drinking potable
deliver fournir
infected d
promised promis
delivery la
intensive main-d'
board conseil
appointed nommé
consultations consultations
reflects reflète
couple quelques
restoring rétablissement
green vert
alerts alerte
up-to-date moderne
dioxin dioxine
discerning éclairées
sludge boues
regime régime
bse esb
shopping shopping-list
reflected se
trolley ai
potent caddie
weapons armes
earth terre
600 600
annually année
dip baisse
agro-food agro-alimentaire
farming agriculture
numbers nombre
challenging cause
ambitious ambitieux
fullest plus
stakeholders acteurs-clés
schedule calendrier
range éventail
understandable compréhensible
envisaging prendra
attracted nombreux
chapter chapitre
envisage envisager
elicit opinions
moments instants
excellence excellence
permanent permanent
perceived comme
reformed réforme
scientific scientifique
transferred transmis
deckchairs transfert
definitive définitif
value-added ajoutée
scientists scientifiques
proactive proactive
identifies identifie
embraced charge
crises crises
nor pas
feed animaux
devolve déléguer
apology scrupule
firmly fermement
argue jamais
law-making législatifs
passion passion
retrograde arrière
dilution attribuer
democratic démocratique
accountability responsabilité
ignore ignorer
argument argument
definitely façon
well-founded chargé
soundly bonne
interested par
rationally solides
argued défendu
hallmark distinctive
exercising exercice
charged payer
science science
underpins base
agencies agences
authoritative officielles
prescriptive normative
evolve installera
evolution évolution
dynamic dynamique
anxious désireux
hugely cruciale
pre-eminent proéminente
component élément
balances équilibres
arena vue
significantly significative
withholding source
complying respectent
recouping récupération
located se
separate séparés
dublin dublin
precautionary précaution
identified identifiés
loopholes lacunes
finalising final
contacts contacts
crucial crucial
incisive incisive
ingredient constituera
formulated formulé
garner rassembler
timeframe délai
thrash débattre
tonight soir
went a
animal animaux
binding contraignante
compound susceptible
over-regulation réglementation
fruitful fructueuse
feedingstuffs animaux
under-implementation uvre
jackson jackson
suggestion proposition
annex annexe
traceability traçabilité
attached aux
focused sur
pieces actes
gaps lacunes
asks demande
compounds proportions
applicant candidats
acting comme
physical physique
distance distance
barrier constitue
makeup composition
directing oriente
florenz florenz
requiring nécessitant
ruled même
anonymity anonymat
nominees nommées
profile notoriété
visible visible
erode nuirait
fundamentally fondamentalement
anonymous anonyme
teeth mordant
interaction interaction
undesirable s'
bedrock auront
includes également
pronouncements pourraient
disagreement désaccord
legislate légiférer
myller myller
feo oav
likely probable
fvo oav
centrally position
periphery périphérie
vets vétérinaires
travel se
airport aéroport
desirable souhaitable
elsewhere ailleurs
initiation situer
listen écouter
sessions séances
preliminary avant-projet
half-hour demi-heure
half-an-hour demi-heure
29 29
b5-0003 b5-0003
dedicate consacrerons
hour heure
interpreters interprètes
purvis purvis
continuous une
5.30 17h30
evening soir
28 28
h-0781 h-0781
clock cher
verheugen verheugen
selection sélection
bidder soumissionnaire
mandate mandat
recorded enregistrées
seismic sismique
nuclear nucléaire
ecemis faille
safe sûrs
vicinity proximité
site site
reply réponse
weapons-grade armes
uncertainty incertitude
simulators modèles
idiot considérer
geopolitical géostratégiques
caucasus caucase
priori priori
nearby qu'
installations installations
grade promotions
acquis acquis
communautaire l
npt prolifération
decommissioning présentes
reactors réacteurs
upgradable moderniser
fears craintes
h-0786 h-0786
wallström wallström
bowe bowe
early précoce
conflict conflit
evidence preuves
overturned tombée
original originale
associated associée
large-scale grands
balkan balkans
depleted appauvri
uranium uranium
hampered fait
net net
contamination contamination
btf relevée
coupled située
exclude exclure
possibility possibilité
contaminated contaminées
pact pacte
south-eastern sud-est
target objectif
reconstruction reconstruction
war guerre
circumstance circonstances
pattern habitudes
symptoms symptômes
emerged change
transboundary transfrontalière
yugoslavia yougoslavie
rests repose
holidaymakers vacanciers
dumped on
head chef
adriatic adriatique
summer été
holiday vacances
swim nager
safely sans
rely dépendent
missions missions
pipeline mouvement
ascertaining se
dangers dangers
marine marin
bullets balles
medical médicaux
try essayer
clean-up nettoyage
h-0793 h-0793
refugees réfugiés
patten patten
frost-bitten souffrent
envoy reviendrait
tibet tibet
believed cru
chinese chinoises
shared partagée
dalai dalaï-lama
lama dalaï-lama
primarily avant
candidly exposer
unlikely cela
guard '
exponential exponentiel
envoys spéciaux
imprisonment emprisonnement
torture torture
mutilation mutilation
channels chaînes
tibetan tibétain
forth soit
exile exil
honourable honorable
shares partage
infinitum interminables
side côté
deserve méritent
greeting entamer
betokens bonheur
decently constituent
happiness salut
heritage patrimoine
buddhist bouddhiste
autobiography autobiographie
holiness sainteté
peaceful pacifique
positively positivement
overture geste
clinton clinton
spiritual intellectuelle
affair affaire
china chine
31 31
h-0795 h-0795
misleading par
inaccurate on
behaviour comportement
consulting consultation
resultant mesure
discrepancy différences
noted noter
forthcoming prochaine
exclusively exclusivement
ombudsman médiateur
legally-binding juridiquement
official officielle
journal journal
legislator législateur
adheres adhère
contents contenu
arisen été
largely largement
author auteur
32 32
lapses caduque
apologise pardon
notes billets
discourtesy manque
bibliography bibliographie
fours quatre
nielson nielson
bedside notes
book livre
automatically automatiquement
performed prodiguée
delegations délégations
entry entrée
quest '
permeate '
receive les
directorate-general direction
cycle cycle
mainstreamed intégrer
outset dès
tackled attaquer
optional continuée
add-on annexe
gender les
overarching général
participated y
departmental '
mainstreaming mainstreaming
managers gestionnaires
introductory plus
senior hauts
courses cours
everybody tout
sympathise partage
deem juge
seniority le
juniors subalternes
1991 1991
grown-up âgés
demonstrates montre
practicality pratique
separately séparément
tacis tacis
kyrgyzstan kirghistan
considerations considérations
kazakhstan le
uzbekistan le
tajikistan tadjikistan
turkmenistan montant
benefiting d
75 75
rehabilitation réhabilitation
7.2 7,2
benefited bénéficié
ngo ong
amounted sur
7.42 aux
humanitarian humanitaire
echo echo
contributing -
vulnerable vulnérables
ongoing en
istanbul istanbul
caspian vraiment
balkans balkans
21st xxie
breakdown plus
prediction après
asian asie
republics certaines
gloomy pessimisme
negotiation négociation
remarks remarques
alleviation éradication
applauded question
h-0778 h-0778
consist en
watch surveiller
raping prendre
greek grec
land terres
honours suivra
commitments engagements
quantitative quantitatifs
instructors servent-ils
trainees cercle
22 22
productivity productivité
evaluated évalué
36 36
h-0782 h-0782
ratio rapport
complained plaint
retire retraite
quantify quantifier
meetings réunions
retirement retraite
language langue
expressly expressément
approximate problème
enlarge élargir
infringement infraction
instituted a
denmark danemark
nationals ressortissants
adhered respectés
socio-political serait
interpreting interprétation
residing existant
h-0791 h-0791
transposing transposition
48-hour hebdomadaire
non-consultant formation
hospital hôpital
doctors médecins
38 38
h-0805 h-0805
transitional transitoire
commissioners commissaires
54 54
concrete concrètes
covers couvre
trusted confiance
prodi prodi
kinnock kinnock
avilés-perea députée
reding reding
exhortation et
39 39
h-0807 h-0807
umbrella englobera
doctrine doctrine
... ...
submit présenter
steering directeur
workplace travail
verify vérifier
satisfies satisfait
h-0808 h-0808
assist aider
reducing réduire
statistics statistiques
studies études
teu quelles
effected cadre
sections groupes
suffer sont
prescribed fixés
professions professions
religious religieux
qualification spécialisation
school école
perverse pervers
accepted accepté
reinforcement renforcement
hierarchy hiérarchie
oppression oppression
teacher maître
faith foi
roman très
catholic catholique
belongs appartient
41 41
h-0813 h-0813
gay favorable
qualifications compétence
lesbian lesbienne
lowest bas
70 70
195 195
extreme extrême
real-life attarder
less-favoured ­
well-argued termes
plight irakienne
overlooked on
reaching atteindre
h-0817 h-0817
microcredit micro-crédits
footing pied
shaping the
partners partenaires
started commencé
alternatives solutions
lisbon lisbonne
44 44
h-0819 h-0819
timetables calendrier
disability personnes
concentrates concentre
installation installation
crossing son
physically elles
specialise chaque
45 45
h-0006 h-0006
00 00
folketing folketing
contain contiennent
collective collective
inapplicable inapplicables
imposed aux
sides parties
universally faille
host accueil
move aller
attempt tentative
activate options
6 6
transposed transposée
fulfilled remplies
dedication temps
discharge décharge
7.50 19h50
elapsed épuisé
9.00 21
46 46
68 68
replied recevront
arrive arriver
absence absence
inexcusable inexcusable
otherwise sinon
eve veille
whistle-blower sonnettes
audit audit
drafts préparation
separated séparation
cabinets cabinets
waive à
pledges promesses
privileges privilèges
sem sem-2000
presupposes suppose
translated se
financially financièrement
representation représentation
citizen citoyen
copyright auteur
gaza gaza
acquired acquise
outline souligner
heavy lourds
counterparts homologues
grant octroyer
march mars
weapon arme
placing question
deployed '
cleared réglé
felt a
persistent persistante
unused soigné
unique unique
strands visiblement
workload programmes
practicalities celle
contracts contrats
resourcing propres
saw ai
papers partie
politicians politiques
der der
laan laan
managing gestion
relieved soulagera
overhaul révision
garden mauvaise
indicates fait
rosy rose
push engager
acknowledge '
restored opinion
immunity immunité
lifted lever
followed suivie
follow-through donne
lousewies lousewies
usually habituellement
bother dans
cogent dressé
piled monceau
honest honnête
desks travail
unusual étrange
doubts doute
blamed rapportant
dilemma dilemme
anticipating -
struggled confronté
stretches ailleurs
missing défaut
listed celles
examples exemples
whistle-blowers "
substance substance
illustration illustration
empty fait
picture image
confirmed confirmé
accounts comptes
expert expert
absurd absurde
incur assumer
stopping cesser
downfall ancienne
squarely réside
incriminating accablants
achievements résultats
mistakes erreurs
blank blanc
cheque chèque
eight huit
headings différents
integral intégrante
recall se
likewise même
sincere d
postpone reporter
willingness volonté
displayed l
vis-à-vis vis-à-vis
mindset mentalité
sweeping fondamentales
carpet les
friends amis
indignant constater
handed relatifs
foregone automatique
cards cartes
repeating répète
ancient romains
resignation démission
unconditional inconditionnel
santer santer
concluding conclusion
struggle lutte
confident confiance
landscape paysage
mired empêtrée
allegations allégations
scandal scandale
reinvigorated revigoré
symbolic symbolique
voluntarily volontairement
renounced renoncé
entitlement droit
tax-free achats
alcohol alcool
tobacco tabac
dgs générales
congratulated me
petrol d'
expenditure dépenses
autonomy autonomie
nepotism népotisme
thrive prospérer
middle moyen-orient
reinforcing renforcement
codes codes
unambiguous claires
crucially primordial
enforceable exécutoire
suited adaptées
escape aux
valve comme
practices pratiques
career carrière
merit mérite
attractive attrayante
promotions procédures
fairer plus
rewarded récompensions
sine sine
qua condition
non non
momentum élan
stories affaires
voters électeurs
rid on
fed celle
instil chez
endless interminables
formulate formuler
possess armement
no-one personne
qualities '
morality morale
elective élective
discretion discrétion
delegated déléguées
innately propres
documentation documentation
punished sanctionné
brings apporte
whistle-blowing dénonciation
democracy démocratie
traumatic traumatisantes
periods périodes
1957 1957
epp ppe
reverse inverse
conveying cela
avail résultat
concede occurrence
rumour rumeur
peoples peuples
won attirer
transmission transmission
listening écoute
mode mode
over-zealous direction
lessons leçons
learnt compris
negotiated négocié
demeaning lorsqu'
presence présence
nutshell bref
topic sujet
staffing personnel
upheavals entretenant
assumes part
partner partenaire
willy bon
deciding décisif
nilly gré
elles elles
cart charrue
horse bufs
apologising pardonner
engender espoirs
buck pe
assured assuré
under-performance mènent
person personne
miscalculation calcul
costing coûts
wine vin
hard-working grands
outdated désuète
gbp livres
clean propre
glasshouses verre
throw rejeter
stones pierres
history histoire
activity-based activités
budgeting établissement
hanging pendaison
coattails long
re-assured rassurer
admire ai
spirits alcools
inundated noyer
randomly arbitraire
noticed remarqué
flechard constaté
sorted triés
directorates-general directions
budget-related l
post poste
upward hausse
trend tendance
downward baisse
compliment féliciter
prescribe mise
expound rapport
mother mère
tongue maternelle
wrangling siégeant
meanwhile entre-temps
100 100
rewrote remis
greens verts
regionalists régionalistes
embellish améliorer
paragraphs paragraphes
backs dos
render cela
readable lisible
nowhere nulle
cash liquidités
flow flux
pumped absorbée
improper abusive
revenue recettes
poorer plus
strictest le
solve résoudre
preferable préférable
channelled acheminée
detour par
overheads frais
sit siéger
choosing choix
evaluate évaluer
disloyal façon
aside sont
fossilised statut
expectation expectative
catch-22 '
experienced '
watered-down plusieurs
anticipated ils
chamber assemblée
controller contrôleur
sending envoie
signals signal
renaming lance
audits audits
easy facile
ignored ignorées
evaded contourné
chart devient
soft norme
salient ressort
grey quant
misdemeanours sanctionner
announcements annonces
congratulations félicitations
nuts noix
cracked problème
u-turn changement
embrace aux
entitled droit
michiel michiel
witnessing assistons
baptism bizutage
medal qualifier
eldr eldr
regulated réglementés
re-establishing rétablissement
mulder mulder
credible crédible
counterpart contrepartie
search recherche
hearts cur
presenting présenter
anxiously avec
awaits attend
commissioned étude
bold courageux
neutral neutralité
posts postes
imprecise référence
affiliated associés
grief échec
politically politiquement
pardon respect
visa visa
insisting sur
abolishing suppression
controllers contrôleurs
furnish fournirons
controlling contrôle
payment paiement
transaction par
stamp contrôler
independently indépendance
talks négociations
subscribes '
seal souligner
tried essayé
stupid fou
strikes heureux
rigid rigides
smear aux
obsolescent époque
campaigns campagnes
intransigent intransigeants
whereupon part
enjoy '
leadership direction
passage passage
backbone du
wishy-washy grèves
romano romano
tangle !
allowances accordées
mobility mobilité
dodge adéquates
spouting capitaux
hurts qui
temporary temporaires
instrumental instrumental
duty-free taxe
beat contre
lobbies lobbies
resented opposaient
airports aéroports
carelessness négligence
exaggeration on
splendid magnifique
prevail prévaloir
clearly-defined clairement
generated par
spot place
anomalous échapper
slip lapsus
decentralising décentraliser
tasks tâches
rotation rotation
extra supplémentaires
inefficient servent
incompetent incompétence
ethical éthique
stating liés
outsourced qui
clarify clarifier
auditing contrôle
roles rôles
hunt chasse
criminals criminels
warm remercier
coordinator coordinateur
bit peu
pomés considérable
surprised surpris
den den
ruiz ruiz
berg berg
slightly peu
rationale où
appease but
scrap supprimer
scorched brûlée
haarder haarder
inadequately l
taos bat
diametrically arrivée
plato platon
western occidentale
performance performance
regularly régulièrement
tempted tentation
replace remplacer
wisdom sagesse
ideology idéologie
0 aurait
belonging appartenant
brilliant assortis
long-winded prolixe
enterprising sort
arduous difficile
accuracy précision
epithet qualificatif
length longuement
breaks emprunte
confusing dimension
16 16
alarming alarmantes
hopes espoirs
endeavours efforts
messages messages
securing garantir
smooth-running soulignera
emphasised sur
win gagner
enables permet
mature temps
served servi
notwithstanding cette
lectures reproche
justifiably titre
painstaking assidu
pains-accepting entendu
pomes cela
encouraged encourager
preparing préparation
open-ended n'
compile recenser
turning tournant
themes thèmes
safeguards garantisse
executive exécutif
specially limité
demystify démystifiera
campaigning depuis
headed parvenir
professionally sera
recasting exposés
profession profession
seek à
accompanied d'
chaired présidée
relaxing relâchement
inputs nuls
delighted réjouis
bang type
relinquished service
centralised centralisé
preoccupation souci
uncovered peu
character caractère
reporting information
defining définir
specified spécifiés
corollary corollairement
suspected soupçonnais
wrong-doing fautes
false faux
disappointed déçu
persuaded convaincu
hierarchical hiérarchique
thoroughness actuelles
34 34
fairness honnêteté
professionalism professionnalisme
repeated se
introduction introduction
understanding compréhension
begun commencé
explicit explicite
recalls rappelle
ethics éthique
thors thors
mid-december mi-décembre
officially officiellement
blocks avancement
linear linéaire
proven sont
capabilities moyens
communications communications
reflection reflet
consultative consultatif
precision précision
dividend dividende
availability disponibilité
welcomes se
foster à
east au
11.15 23h15
fixed fixe
arranged fixation
stay rester
visitors visiteurs
palestinian palestinienne
palestinians palestiniens
israelis israéliens
generous généreuse
sharm charm-el
el-sheikh cheikh
memorandum objectif
slippage décalage
reassured rassurer
israeli israélien
troop troupes
redeployments faite
materialise se
prime premier
barak barak
arafat arafat
multilateral multilatérale
straightforward franche
syria syrie
paved ouvert
convening convocation
liaison commencez
moscow moscou
co-sponsors région
banker banquier
arab arabes
attending à
neighbours voisins
kid trompons
acknowledged reconnu
hefty global
tag arrière
donors donateurs
jordan jordanie
slouch habitude
lebanon liban
egypt l'
closer renforcée
860 de
applaud applaudis
similarly même
courageous courageux
arabs arabes
bolster renforcent
syrian soutenir
renewed nouvelles
people-to-people particuliers
wartime guerre
maybe peut-être
importantly surtout
scarce abondant
gama gama
inevitably inévitablement
disappointments nombreuses
tone ton
madrid madrid
fluid liquéfie
pessimistic pessimisme
exceed dépassent
hand-over cisjordanie
donor donateurs
trip effectuera
violence violence
cooperating coopération
profound profond
heal permettant
galeote galeote
quecedo galeote
settlement règlement
above-mentioned aient
golan golan
heights plateau
unifil se
outstanding suspens
israel israël
dispute différend
withdrawal retrait
proclaimed proclamée
lebanese annexes
delight joie
constant permanent
solana solana
integrity intégrité
needless il
libya libye
barcelona barcelone
unresolved pas
unanswered sans
recognises reconnaît
approaching prochaine
renounces elle
jerusalem partagera-t-elle
un nations
river afin
palestine palestine
terrorists terroristes
47 47
invited invités
godparent l
conquered conquis
corners coins
founded fondée
principally principalement
anti-colonialism était
palestine-israel palestine-israël
algeria algérie
territories territoires
occupied occupés
uprooted négociation
houses maison
demolished fait
332 332
supplies ressources
248 248
245 245
deferment rapports
194 194
settlements colonies
constantly constamment
deeply profondément
matches joue
el el
­ députés
-sheikh ministre
deny nier
leaders dirigeants
courage courage
settlers colons
compensated compensations
prospects perspectives
redeployment redéploiement
transfer transfert
releases des
holding tenue
wye wye
prisoners prisonniers
halting semble-t-il
permits autorise
pose vont
amos l
oz amos
aptly saisissante
syrians syriens
icy '
echoed dans
atmosphere atmosphère
assad assad
fax fax
impressed impressionnée
receipt recevoir
discourteous attitude
ehud ehud
plainly notre
insulting insultante
farouk farouk
al-shara al-shara
shepherdstown shepherdstown
cutting réduction
nose sur
niceties savoir-vivre
spite malgré
suspension suspension
portuguese portugaise
pledged notre
troops troupes
affecting qui
peacekeeping maintien
insist insister
oslo oslo
plantation d
pitiful on
secure garantir
washington washington
solved résoudre
commensurate aurons
balanced équilibrée
dare osez
520 520
sovereignties espoir
securely sûres
dual double
midday midi
hadera hadera
condemnation condamnation
terrorism terrorisme
commercial commerciale
chose fait
americans américains
sponsor parrainer
participants notre
suffers souffre
partisan ils
voice voix
schengen schengen
expression expression
antonio antonio
begrudges détruit
multiply l
overlap chevauchement
mark d'
persist sur
immigration immigration
amused attardés
pile tas
incorporation intégration
chooses choisit
alternatively crois
miserably faute
begrudge lésiner
association association
vitally importance
organised organisée
scenarios scénarios
organising organiser
addressing évoquées
jumbo "
resolving résolution
jha-ecofin jai-Écofin
parallel parallèlement
conviction conviction
items points
charter charte
forgery falsification
non-cash mentionnerai
drugs drogues
laundering blanchiment
tour capitales
capitals capitales
version version
soundings "
instigate sûre
2000-2004 2000-2004
computer informatique
conjunction en
leads entraîne
pole redire
gomes gomes
62 62
ppe ppe
asylum asile
focal ravagées
burden charge
absorbing primo
eurodac eurodac
vienna vienne
classifying classement
seekers demandeurs
sharing partage
europe-wide échelle
successes succès
refugee réfugiés
misery misère
continent continent
forthwith rapidement
hampering entrave
academy académie
boundaries frontières
jewels principales
crown couronne
deploy déployer
eurosceptics eurosceptiques
arrested arrêtés
released libéré
sovereignty souveraineté
nation-state État-nation
extradited arrêté
repression répression
arrest arrestation
milestone événement
wonderful en
imbalance déséquilibre
finnish finlandaise
mere simple
winter hiver
declarations déclarations
intent intention
nationality nationalité
predict préjuger
attracts il
contractual contractuelles
complies aux
materialised concrétisés
modus manière
operandi façon
owe devons
optimistic optimiste
distaste dégoût
assuming par
reconciling concilier
popular information
fraternity fraternité
disadvantaged défavorisées
immigrants immigrés
virtually presque
detention détention
scourge fléau
criminalisation criminalisation
asylum-seekers asile
racism racisme
xenophobia xénophobie
nationalism nationalisme
extreme-right extrême-droite
racist racistes
suspensory suspensif
movements mouvements
treated traités
stripped retraitement
naked c'
roissy hasard
barbaric barbares
scene scène
accompany contraire
rare rare
fleeing fuient
motto davantage
dictatorships dictatures
hair cheveux
surrounded plus
horde encadrées
favourably exprimés
disposed traitement
waffling tergiverser
xenophobic xénophobes
incomprehensibly incompréhensible
feelings sentiment
conakry conakry
wide-ranging approfondis
eradicate éradiquer
homophobia homophobie
sexism du
wages salaire
synonym synonyme
insecurity insécurité
enhance la
repressive répressives
responses réponses
powerhouse très
terrifying terrifiantes
minority minorité
pontificate vanter
pervades devra
mantra mantra
afsj elsj
assuage apaiser
catch peut
overwhelming écrasante
reflecting reflétant
decrees législatifs
sustaining inoffensive
supranational supranationale
corporate corporate
secured dont
fort forteresse
duplicitous couvert
europa europe
etc etc
unrealistic irréaliste
deadly sa
revolved s'
strain important
propriety régularité
injurious paralysants
democracies démocraties
attacked à
fruition doivent
soul âme
murders meurtres
strange étrange
irony d'
loyalists loyalistes
assaulted abattu
totalled engagées
shot faits
193 193
123 123
remedying remédier
republicans republikaner
97 97
93 93
omagh incluant
killed tués
300 300
injured blessées
defend défendre
avalanche avalanche
vision vision
citizenship citoyenneté
migrants migrants
professor professeur
trio trio
music musique
ears développés
tune mélodie
ceyhun oreilles
orchestrated orchestrée
drowning large
unpleasant désagréable
tunes mélodies
election électorale
schulz schulz
cricket cricket
score point
terrón terrón
shadow-boxing petites
pretend car
elaborate m'
charades ;
parliaments parlements
resourced ressources
duties devoirs
timescales impliquerait
threes trois
hundred cent
liberty liberté
incomplete incomplète
unilateral accepterons
re-establish rétablir
readmission réadmission
residents habitants
non-refoulement représentent
regretted regretter
[ pour
] non-refoulement
welcoming souhaiter
drug drogue
tremendous énorme
trafficking trafic
belgian belge
coordinated coordonnée
lodged ai
23 23
segment segment
corresponding correspondantes
database données
observer observateur
integrating intégration
reuniting ferez-vous
demographic démographique
class classe
portrayed véhiculé
recognising reconnaître
caution prudence
karlsruhe de
edinburgh Édimbourg
sustain qu
jurisdictions juridiction
enemy ennemi
seconds secondes
replies réponses
h-0780 h-0780
freedoms libertés
radiological radiologiques
limitation limitation
buy acheter
candu auxquels
signatory signé
pakistan pakistan
heighten beaucoup
india inde
plants installations
allay apaiser
tests tests
souladakis député
situated désormais
prone conditions
earthquakes nucléaires
president-in-office président
forgive excuser
wife gentil
write écrire
cooperative coopérative
dog en
newton pu
dunn m.
secretariat secrétariat
255 255
